Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,1.6,1.4,0.1,1.2,1.0,5.0,3.9,-1.3,-5.2,3.6
Cambodia,-0.4,1.7,1.7,1.7,1.7,1.7,0.6,1.6,1.6,1.5
Indonesia,1.4,1.3,1.4,1.1,1.1,1.1,1.0,1.2,0.8,1.3
Lao PDR,2.0,2.5,-2.0,1.7,1.7,1.6,1.6,1.9,1.1,1.4
Malaysia,2.4,1.6,1.6,1.4,1.2,1.1,0.4,-0.2,0.4,0.4
Myanmar,1.0,1.6,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Philippines,1.7,1.7,1.7,1.7,1.6,0.8,1.4,1.3,1.4,1.2
Singapore,1.6,1.3,1.2,1.3,0.1,0.5,1.2,-0.3,-4.1,3.4
Thailand,0.4,0.4,0.3,0.3,0.3,0.3,-3.4,-0.2,-0.3,1.3
Viet Nam,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.1,0.9,1.0
ASEAN,1.3,1.3,1.2,1.1,1.1,1.0,0.6,1.0,0.8,1.2
