Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,N/A,6.9,N/A,N/A,9.0,7.7,6.7,7.3,4.9,5.2
Cambodia,0.3,0.1,0.1,0.2,0.1,N/A,2.4,N/A,1.0,1.0
Indonesia,6.2,5.9,6.2,5.6,5.5,5.3,5.2,7.1,6.5,5.9
Lao PDR,N/A,N/A,N/A,N/A,9.4,N/A,N/A,N/A,N/A,2.4
Malaysia,3.1,2.9,3.1,3.4,3.4,3.3,3.3,4.5,4.6,3.9
Myanmar,4.0,4.0,0.8,N/A,1.6,0.9,0.5,0.2,1.3,2.5
Philippines,7.1,6.8,6.3,5.4,5.7,5.3,5.1,10.3,7.8,5.4
Singapore,2.8,2.7,2.8,3.0,3.1,2.9,3.1,4.1,3.5,2.9
Thailand,0.7,0.8,0.9,1.0,1.2,1.1,1.0,1.7,1.9,1.3
Viet Nam,1.9,1.9,2.1,2.1,2.0,2.0,2.0,2.2,2.9,2.1
