Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei,64.5,68.8,71.2,75.0,90.0,94.6,95.0,95.0,98.1,98.1
Cambodia,6.8,9.0,19.0,25.6,32.4,65.0,78.3,78.8,60.2,60.2
Indonesia,14.9,17.1,22.0,51.3,54.8,64.8,73.7,73.7,77.0,77.0
Laos,12.5,14.3,18.2,19.0,26.0,37.0,49.0,N/A,57.0,60.0
Malaysia,67.0,67.5,71.1,78.8,80.1,81.2,84.2,89.6,96.8,97.4
Myanmar,8.0,11.5,21.7,25.1,56.3,79.3,85.0,90.9,44.0,44.0
Philippines,37.0,39.7,53.7,48.1,N/A,N/A,75.4,N/A,52.7,52.7
Singapore,81.0,82.0,79.0,76.3,82.3,87.2,88.9,95.0,96.9,96.0
Thailand,28.9,34.9,39.3,47.5,52.9,60.8,66.7,77.8,83.6,86.7
Vietnam,43.9,48.3,43.5,54.2,58.1,70.0,68.7,70.2,70.2,78.6
