,,,,,,,,,,,,
Table 4.3. Rate of Economic Growth1) in ASEAN, 2013-2022,,,,,,,,,,,,Back to Contents
,,,,,,,,,,,(in percent),
Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,"Average Annual Growth
2013-2022",
Brunei Darussalam,-2.1,-2.5,-0.4,-2.5,1.3,0.1,3.9,1.1,-1.6,-1.6,-0.4,
Cambodia,7.5,7.1,9.0,6.9,7.2,7.5,6.8,-3.1,3.0,4.8,5.7,
Indonesia,5.6,5.0,4.9,5.0,5.1,5.2,5.0,-2.1,3.7,5.3,4.3,
Lao PDR,8.0,7.6,7.3,7.0,6.9,6.3,5.5,3.3,3.5,4.4,6.0,
Malaysia,4.7,6.0,5.0,4.4,5.8,4.8,4.4,-5.5,3.3,8.7,4.2,
Myanmar2),7.3,8.4,8.0,7.3,5.8,6.4,6.8,3.2,-5.9,2.8,5.0,
Philippines,6.8,6.3,6.3,7.1,6.9,6.3,6.1,-9.5,5.7,7.6,5.0,
Singapore,5.1,3.9,2.2,3.6,4.5,3.6,1.3,-3.9,8.9,3.6,3.3,
Thailand,2.7,1.0,3.1,3.4,4.2,4.2,2.1,-6.1,1.5,2.6,1.9,
Viet Nam,5.4,6.0,6.7,6.7,6.9,7.5,7.4,2.9,2.6,8.0,6.0,
ASEAN,5.1,4.7,4.9,4.9,5.4,5.2,4.5,-3.7,3.8,5.6,4.1,
,,,,,,,,,,,,
Source: ,,Notes: ,,,,,,,,,,
ASEAN Secretariat ,,1) Derive from GDP at constant prices,,,,,,,,,,
,,2) In fiscal year,,,,,,,,,,
